Description,Synonyms
sclerosing cholangitis,"['sclerosing cholangitis', 'primary sclerosing cholangitides', 'sclerosing cholangitides, primary', 'primary sclerosing cholangitis (diagnosis)', 'psc', 'primary sclerosing cholangitis (psc)', 'cholangitides, primary sclerosing', 'primary sclerosing cholangitis (disorder)', 'psc - primary sclerosing cholangitis', 'psc - primary scler cholangit', 'cholangitis, primary sclerosing', 'primary sclerosing cholangitis (disorder) [ambiguous]', 'primary sclerosing cholangitis', 'cholangitis primary sclerosing', 'sclerosing cholangitis, primary', 'sclerosing cholangitis unspec', 'sclerosing cholangitis', 'cholangitis, sclerosing [disease/finding]', 'cholangitis, fibrosing', 'sclerosing cholangitis unspecified (disorder)', 'chronic obliterative cholangitis', 'cholangitis sclerosing', 'sclerosing cholangitides', 'sclerosing cholangiitis', 'fibrosing cholangitis', 'sclerosing cholangitis (disorder)', 'cholangitis, sclerosing', 'sclerosing cholangiitides', 'cholangitis, obliterative, chronic', 'cholangiitides, sclerosing', 'sclerosing cholangitis unspecified', 'cholangiitis, sclerosing', 'cholangitides, sclerosing']"
antibody measurement,"['antibody measurement, nos', 'antibody measurement (procedure)', 'antibody measurement']"
Epilepsy (generalized),[]
psychomotor performance,"['performance, psychomotor', 'psychomotor performance', 'psychomotor functions', 'psychomotor function', 'performances, psychomotor', 'psychomotor performances']"
Factor VII,"['vii, coagulation factor', 'coagulation factor vii', 'f7', 'serum prothrombin conversion accelerator', 'stable factor', 'spca', 'factor vii', 'blood-coagulation factor vii', 'blood coagulation factor vii', 'factor vii coagulation', 'autoprothrombin i', 'coagulation factor vii (substance)', 'cothromboplastin', 'blood coag factor vii', 'factor vii, coagulation', 'factor vii [chemical/ingredient]', 'ec 3.4.21.21', 'coag factor vii', 'factor, stable', 'proconvertin', 'coagulation factor vii (serum prothrombin conversion accelerator)', 'fvii coagulation protein', 'f7', 'eptacog alfa', 'coagulation factor vii (serum prothrombin conversion accelerator) gene', 'coagulation factor vii', 'factor vii', 'f7 gene', 'proconvertin', 'factor vii', 'stable factor', 'factvii', 'factor vii measurement']"
vitamin b12 measurement,"['cyanocobalamin (vitamin b-12) level', 'vtmn b-12 ea.tst', 'vitamin b12 level', 'cyanocobalamin vitamin b-12', 'vitamin b12 level test', 'vitb12', 'vitamin b12 measurement (procedure)', 'vitamin b12 measurement', 'vitamin b-12 each test', 'cyanocobalamin, true measurement', 'antipernicious anaemia factor measurement', 'vitamin b12', 'antipernicious anemia factor measurement', 'cyanocobalamin (vitamin b-12)', 'vitamin b12 level (procedure)', 'vitamin b-12', 'measurement of cyanocobalamin (vitamin b-12)']"
HDL cholesterol,"['hdl cholesterol', 'serum hdl cholesterol measurement (procedure)', 'serum hdl cholesterol test', 'plasma hdl cholesterol level', 'serum hdl cholesterol level (procedure)', 'serum hdl cholesterol measurement', 'serum hdl cholesterol (lab test)', 'serum hdl cholesterol', 'serum hdl cholesterol level', 'hdl-high density lipoprot chol', 'cholesterol, hdl', 'cholesterol hdl', 'alpha-lipoprotein cholesterol', 'cholesterol, hdl [chemical/ingredient]', 'hdlc - high density lipoprotein cholesterol', 'high density lipoprotein cholesterol (substance)', 'hdl - high density lipoprotein cholesterol', 'hdl cholesterol', 'high density lipoprotein (hdl) cholesterol (substance)', 'cholesterol, alpha-lipoprotein', 'hdlc-hi-densit lipoprot choles', 'high density lipoprotein (hdl) cholesterol', 'alpha lipoprotein cholesterol', 'lipoproteins, hdl cholesterol', 'high density lipoprot chol', 'hdl cholesterol (substance)', 'high density lipoprotein cholesterol', 'hdl measurement', 'high density lipoprotein measurement (procedure)', 'cholesterol hdl tests', 'hdl cholesterol test', 'high density lipoprotein cholesterol level', 'high density lipoprotein cholesterol measurement (procedure)', 'high density lipoprotein cholesterol measurement', 'test;cholesterol hdl', 'high density lipoprotein', 'hdl cholesterol level', 'cholesterol hdl test', 'high density lipoprotein measurement', 'hdl - high density lipoprotein cholesterol level', 'hdl cholesterol measurement', 'hdlc - high density lipoprotein cholesterol level', 'hdl', 'assay of lipoprotein', 'hdl cholesterol', 'high density lipoprotein cholesterol', 'direct measurement of high density cholesterol (hdl cholesterol)', 'high density lipoprotein (hdl) cholesterol level test', 'lipoprotein, direct measurement; high density cholesterol (hdl cholesterol)', 'lipoprotein dir meas high density cholesterol']"
renal cell carcinoma,"['carcinomas, renal cell', 'adenocarcinoma kidneys', 'cancer, renal cell', 'renal cell carcinoma, stage unspecified', 'renal cell carcinoma', 'grawitz tumor', 'nephroid carcinomas', 'renal cell; adenocarcinoma', 'carcinoma cell renal', 'renal cell carcinoma (diagnosis)', 'adenocarcinoma of kidney', 'cancer cell renal', 'renal cell carcinoma, papillary', 'adenocarcinoma, renal', 'kidney (renal cell) cancer', 'carcinoma, renal cell, malignant', 'renal cell cancers', 'carcinoma, renal cell [disease/finding]', 'renal cell carcinoma (morphologic abnormality)', 'of kidney carcinoma', 'renal adenocarcinoma', 'renal cell; carcinoma', 'renal cell carcinoma-morpholog', 'kidney cancer, renal cell adenocarcinoma', 'carcinoma of kidney', 'adenocarcinoma of the kidney', 'adenocarcinoma renal', 'renal cell adenocarcinoma', 'adenocarcinoma of kidney (diagnosis)', 'cancers, renal cell', 'carcinomas, nephroid', 'renal cell carcinoma, nos', 'rcc', 'hypernephroid carcinomas', 'nephroid carcinoma', 'rccs', 'adenocarcinoma, renal cell', 'hypernephroma', 'renal cancer, adenocarcinoma', 'carcinoma; renal cell', 'renal cell carcinoma nos', 'renal carcinoma', 'carcinoma cells renal', 'adenocarcinoma; renal cell', 'renal cell carcinoma - morphology', 'adenocarcinoma cells renal', 'carcinoma, nephroid', 'renal cell adenocarcinomas', 'carcinoma renal', 'kidney carcinoma', 'adenocarcinomas, renal cell', 'carcinoma, renal cell', 'carcinoma;kidney', 'carcinomas renal', 'renal cell carcinomas', 'cancer cells renal', 'grawitz tumour', 'carcinoma kidney', 'kidney adenocarcinoma', 'renal cell carcinoma stage unspecified', 'renal cell cancer', 'cell renal cancer', 'renal cell carcinoma', 'nci ctep simple disease classification renal cell carcinoma sub-category terminology', 'nci ctep sdc renal cell carcinoma sub-category terminology', 'renal cell carcinoma', 'renal cell carcinoma pathway']"
Essential tremor,"['essential tremor (finding)', 'tremor, benign essential', 'tremor; essential', 'benign essential tremor (disorder) [ambiguous]', 'benign essential tremor', 'essential benign tremors', 'benign essential tremor (disorder)', 'essential; tremor', 'essential tremors, benign', 'tremors, benign essential', 'benign essential tremors', 'essential benign tremor', 'essential tremor (hereditary)', 'physiological tremor', 'tremors, essential', 'benign essential tremor syndrome', 'tremor, physiological', 'tremor essential', 'essential tremors', 'presenile tremor syndrome', 'tremor, essential', 'essential tremor', 'essential tremor, benign', 'essential tremor [disease/finding]', 'essential tremor', 'essential tremor (disorder)']"
hypothyroidism,"['subthyroidism', 'hypothyroidism (disorder)', 'hypothyroidism', 'hypothyroid', 'thyroid insufficiency', 'hypothyroidism (diagnosis)', 'hypothyroidism [disease/finding]', 'hypothyroidism nos', 'hypothyroidisms', 'hypothyroidism nos (disorder)', 'unspecified hypothyroidism', 'thyroid; insufficiency', 'thyroid deficiency', 'deficiency; thyroid', 'insufficiency; thyroid', 'thyroid activity decreased', 'underactive thyroid', 'thyroid; deficiency', 'hypothyroidism [ambiguous]', 'hypothyroidism, unspecified', 'unspecified acquired hypothyroidism', 'hypothyroidism, nos']"
